Cluster	ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	geneSymbol
Ko_Oe_Beta2	BP	GO:0002181	cytoplasmic translation	109/2899	153/29872	0.712418300653595	7.34093117527568	25.7789973099787	4.24873873944972e-75	3.38369553209775e-71	1.81756570917091e-71	Pkm/Cpeb2/Rwdd1/Rpl36al/Paip1/Drg1/Hnrnpd/Eif2ak4/Rpl39/Rpl34/Cpeb3/Rpl18/Rpl12/Cpeb1/Rps20/Rps13/Rps18/Rpl26/Rpl37a/Rps5/Cnbp/Rps21/Dhx9/Dhx36/Etf1/Rpl27/Rpl41/Rpl32/Rpl36/Rps9/Nemf/Ythdf2/Rpl23a/Eif5/Rps14/Rpl23/Rpl8/Rps16/Rpl22l1/Rpl9/Rpl38/Uba52/Rpl3/Cpeb4/Rps12/Rpl10a/Rps15a/Rpl17/Hnrnpu/Rps29/Fau/Rpl19/Rpl35a/Rpl4/Unk/Eif2s2/Rps23/Eif3i/Rps26/Ybx1/Rpl15/Zc3h15/Eef2/Rpl13a/Rps25/Rps28/Rps4x/Rps15/Rplp2/Rpl7a/Rpl7/Rpl24/Syncrip/Csde1/Rpl27a/Rps6/Rps3a1/Rps27a/Rpl5/Eif3a/Eif4a1/Impact/Rpl22/Rpl13/Rps11/Rpsa/Rplp0/Rpl28/Rps8/Rps3/Rps2/Rps19/Eif3m/Rpl11/Rpl29/Eif4a2/Rpl36a/Rpl21/Rpl30/Eif2s3x/Rps17/Rpl14/Rplp1/Rpl18a/Rps10/Rpl6/Rps7/Rpl31/Rps24	109	Pkm/Cpeb2/Rwdd1/Rpl36al/Paip1/Drg1/Hnrnpd/Eif2ak4/Rpl39/Rpl34/Cpeb3/Rpl18/Rpl12/Cpeb1/Rps20/Rps13/Rps18/Rpl26/Rpl37a/Rps5/Cnbp/Rps21/Dhx9/Dhx36/Etf1/Rpl27/Rpl41/Rpl32/Rpl36/Rps9/Nemf/Ythdf2/Rpl23a/Eif5/Rps14/Rpl23/Rpl8/Rps16/Rpl22l1/Rpl9/Rpl38/Uba52/Rpl3/Cpeb4/Rps12/Rpl10a/Rps15a/Rpl17/Hnrnpu/Rps29/Fau/Rpl19/Rpl35a/Rpl4/Unk/Eif2s2/Rps23/Eif3i/Rps26/Ybx1/Rpl15/Zc3h15/Eef2/Rpl13a/Rps25/Rps28/Rps4x/Rps15/Rplp2/Rpl7a/Rpl7/Rpl24/Syncrip/Csde1/Rpl27a/Rps6/Rps3a1/Rps27a/Rpl5/Eif3a/Eif4a1/Impact/Rpl22/Rpl13/Rps11/Rpsa/Rplp0/Rpl28/Rps8/Rps3/Rps2/Rps19/Eif3m/Rpl11/Rpl29/Eif4a2/Rpl36a/Rpl21/Rpl30/Eif2s3x/Rps17/Rpl14/Rplp1/Rpl18a/Rps10/Rpl6/Rps7/Rpl31/Rps24
Ko_Oe_Beta2	CC	GO:0022626	cytosolic ribosome	98/2899	142/29872	0.690140845070423	7.11137886303679	23.931520235869	1.72277891724179e-65	6.86010564845681e-62	3.6849334314056e-62	Rpl10-ps3/Rpl36al/Rps27l/Eif2ak4/Ubb/Rpl39/Rpl34/Hbs1l/Rpl18/Rpl12/Rps20/Rps13/Rps18/Rpl26/Rpl37a/Rps5/Rps21/Etf1/Rpl27/Rpl41/Rpl32/Ddx3x/Rpl36/Rps9/Nemf/Rpl23a/Rps14/Rpl23/Rpl8/Rps16/Rpl9/Rpl38/Uba52/Rpl3/Abce1/Rps12/Rpl10a/Rps15a/Rpl17/Rps29/Fau/Rpl19/Rpl35a/Rpl4/Larp4/Rps23/Gcn1/Ltn1/Rps26/Rpl15/Rpl13a/Rps25/Rps28/Rps4x/Rps15/Rplp2/Rpl7a/Rpl7/Rpl24/Rpl27a/Rps6/Rps27/Rps3a1/Gspt1/Rps27a/Rpl5/Ascc3/Rpl22/Rpl13/Rps11/Rpsa/Rplp0/Eif2a/Rpl28/Rps8/Rps3/Rps2/Rps19/Rpl10/Rpl35/Rpl11/Rpl29/Rpl36a/Rpl21/Rpl30/Rps17/Rpl37/Rpl14/Rplp1/Rpl18a/Rps10/Rnf10/Snu13/Rpl6/Rps7/Rpl31/Eef1a1/Rps24	98	Rpl10-ps3/Rpl36al/Rps27l/Eif2ak4/Ubb/Rpl39/Rpl34/Hbs1l/Rpl18/Rpl12/Rps20/Rps13/Rps18/Rpl26/Rpl37a/Rps5/Rps21/Etf1/Rpl27/Rpl41/Rpl32/Ddx3x/Rpl36/Rps9/Nemf/Rpl23a/Rps14/Rpl23/Rpl8/Rps16/Rpl9/Rpl38/Uba52/Rpl3/Abce1/Rps12/Rpl10a/Rps15a/Rpl17/Rps29/Fau/Rpl19/Rpl35a/Rpl4/Larp4/Rps23/Gcn1/Ltn1/Rps26/Rpl15/Rpl13a/Rps25/Rps28/Rps4x/Rps15/Rplp2/Rpl7a/Rpl7/Rpl24/Rpl27a/Rps6/Rps27/Rps3a1/Gspt1/Rps27a/Rpl5/Ascc3/Rpl22/Rpl13/Rps11/Rpsa/Rplp0/Eif2a/Rpl28/Rps8/Rps3/Rps2/Rps19/Rpl10/Rpl35/Rpl11/Rpl29/Rpl36a/Rpl21/Rpl30/Rps17/Rpl37/Rpl14/Rplp1/Rpl18a/Rps10/Rnf10/Snu13/Rpl6/Rps7/Rpl31/Eef1a1/Rps24
Ko_Oe_Beta2	MF	GO:0003729	mRNA binding	160/2899	402/29872	0.398009950248756	4.10119118103858	20.5227644854024	9.78640453200592e-59	2.59796418976317e-55	1.39550694800253e-55	Upf3b/Zfp36l2/Rbms3/Pkm/Cpeb2/Ptbp2/Pcbp1/Ilf3/Hnrnpl/Rnf20/Celf4/Gnl3/Nup98/Chtop/Dazap1/Fubp1/Cpsf7/Celf2/Eif4enif1/Ncl/Fxr1/Ago2/Rbpms/Park7/Snrnp70/Calr/Rc3h1/Khdrbs1/Supt5/Hnrnpr/Casc3/Stau1/Hnrnpd/Tardbp/Hsp90aa1/Pum2/Tia1/Rbm47/Fus/Cpsf6/Fxr2/Cpeb3/Taf15/Spen/Hnrnpm/Pabpc1/Ythdf3/Ybx3/Srrm2/Ythdc1/Rbm25/Ddx39b/Cpeb1/Nsrp1/Mecp2/Rps13/Rbfox2/Rpl26/Rps5/Aqr/Paip2/Cnbp/Dhx9/Dhx36/Etf1/Rnps1/Scaf8/Eif4g2/Ddx3x/Eif4g3/Fyttd1/Sf3b6/Ddx21/G3bp1/Ythdf2/Pcf11/Ddx5/Luc7l2/Zfp638/Mbd2/Rps14/Sf1/Khdrbs3/Ptbp1/Caprin1/Ddx17/Ddx50/Strap/Stau2/Rc3h2/Poldip3/Nxf1/Srsf6/Larp4b/Cpeb4/Tra2b/Celf1/Serbp1/Hnrnpu/Unk/Msi2/Larp4/Eif2s2/Myef2/Tpr/Pabpc4/Copa/N4bp1/Rps26/Hnrnpa3/Ybx1/Khsrp/Rpl13a/Larp1/Tut1/Rpl7/Rpl24/Syncrip/Elavl1/Hnrnpc/Rps6/Rps3a1/Atxn2l/Hnrnpk/Rpl5/Eif3a/Cct5/Purb/Eif2a/Rps3/Luc7l/Ptbp3/Rps2/Lrpprc/Eif4g1/Hdlbp/Rbm5/Tial1/Rpl35/Cstf3/Sf3b1/Pum1/Ireb2/Rpl30/Pcbp2/Srsf3/Srsf1/Esrp1/Thoc2/Rpl6/Luc7l3/Rps7/Srsf4/Ddx6/Srsf7/Auh/Hnrnpa2b1/Eif4e/G3bp2/Eef1a1	160	Upf3b/Zfp36l2/Rbms3/Pkm/Cpeb2/Ptbp2/Pcbp1/Ilf3/Hnrnpl/Rnf20/Celf4/Gnl3/Nup98/Chtop/Dazap1/Fubp1/Cpsf7/Celf2/Eif4enif1/Ncl/Fxr1/Ago2/Rbpms/Park7/Snrnp70/Calr/Rc3h1/Khdrbs1/Supt5/Hnrnpr/Casc3/Stau1/Hnrnpd/Tardbp/Hsp90aa1/Pum2/Tia1/Rbm47/Fus/Cpsf6/Fxr2/Cpeb3/Taf15/Spen/Hnrnpm/Pabpc1/Ythdf3/Ybx3/Srrm2/Ythdc1/Rbm25/Ddx39b/Cpeb1/Nsrp1/Mecp2/Rps13/Rbfox2/Rpl26/Rps5/Aqr/Paip2/Cnbp/Dhx9/Dhx36/Etf1/Rnps1/Scaf8/Eif4g2/Ddx3x/Eif4g3/Fyttd1/Sf3b6/Ddx21/G3bp1/Ythdf2/Pcf11/Ddx5/Luc7l2/Zfp638/Mbd2/Rps14/Sf1/Khdrbs3/Ptbp1/Caprin1/Ddx17/Ddx50/Strap/Stau2/Rc3h2/Poldip3/Nxf1/Srsf6/Larp4b/Cpeb4/Tra2b/Celf1/Serbp1/Hnrnpu/Unk/Msi2/Larp4/Eif2s2/Myef2/Tpr/Pabpc4/Copa/N4bp1/Rps26/Hnrnpa3/Ybx1/Khsrp/Rpl13a/Larp1/Tut1/Rpl7/Rpl24/Syncrip/Elavl1/Hnrnpc/Rps6/Rps3a1/Atxn2l/Hnrnpk/Rpl5/Eif3a/Cct5/Purb/Eif2a/Rps3/Luc7l/Ptbp3/Rps2/Lrpprc/Eif4g1/Hdlbp/Rbm5/Tial1/Rpl35/Cstf3/Sf3b1/Pum1/Ireb2/Rpl30/Pcbp2/Srsf3/Srsf1/Esrp1/Thoc2/Rpl6/Luc7l3/Rps7/Srsf4/Ddx6/Srsf7/Auh/Hnrnpa2b1/Eif4e/G3bp2/Eef1a1
Ko_Oe_Beta2	BP	GO:0008380	RNA splicing	168/2899	455/29872	0.369230769230769	3.80464351102502	19.7637129646656	3.92619026349957e-56	7.81704481462765e-53	4.19895716601639e-53	Upf3b/Zfp326/Acin1/Sugp2/Ptbp2/Snrnp40/Aff2/Clk4/Hnrnpl/Iws1/Tra2a/Bud31/Celf4/Zc3h13/Nup98/Cir1/Dazap1/Snrpa/Ccnl1/Celf2/Exosc10/Polr2a/Magoh/Ncl/Sf3b2/Prpf4b/Slu7/Khdc4/Rsrp1/Prpf6/Snrnp70/Khdrbs1/Prpf38b/Pnn/Mbnl2/Rsrc1/Srrm1/Casc3/Nono/Tardbp/Srpk1/Taf10/Gemin7/Tia1/Ern1/Rbm47/Slc38a2/Snrpd3/Rbm3/Syf2/Fus/Prpf39/Rbm6/Cdk12/Ecd/Taf15/Snrnp200/Dhx15/Clk1/Ddx46/Snw1/Supt6/Supt20/Hspa8/Snrpb/Hnrnpm/Usp4/Ubl5/Pabpc1/Srsf2/Ppp4r2/Srrm2/Eif1/Ythdc1/Hnrnph1/Rbm25/Ddx39b/Nsrp1/Rps13/Eny2/Rbfox2/Zranb2/Mtrex/Aqr/Rbm10/Cdk13/Dhx9/Snrpd2/U2af2/Rnps1/Virma/Sfswap/Zcrb1/Sf3b6/Ddx42/Dyrk1a/Ddx5/Luc7l2/Snrpf/Ik/Zfp638/Sf1/Tmbim6/Khdrbs3/Ptbp1/Ddx17/Cwf19l2/Tcerg1/Strap/Psip1/Scaf11/Srsf6/Srpk2/Tra2b/Celf1/Hnrnpu/Rp9/Snrpg/Srsf10/Thrap3/Rps26/Hnrnpa3/Rbm39/Paxbp1/Ybx1/Khsrp/Hnrnpul2/Snrpe/Bcas2/Npm1/Srek1/Syncrip/Hnrnph2/Zbtb7a/Sf3b3/Srsf5/Sfpq/U2af1/Hnrnpc/Mbnl1/Prpf8/Hnrnpul1/Hnrnpk/Puf60/Ddx1/Prpf40a/Snrpc/Luc7l/Ptbp3/Prdx6/Rbm5/Sf3b1/Son/Srsf3/Malat1/Srsf1/Prpf19/Hnrnpf/Esrp1/Thoc2/Snu13/Luc7l3/Srsf4/Ivns1abp/Srsf7/Hnrnpa2b1/Wbp11/Ccnl2	168	Upf3b/Zfp326/Acin1/Sugp2/Ptbp2/Snrnp40/Aff2/Clk4/Hnrnpl/Iws1/Tra2a/Bud31/Celf4/Zc3h13/Nup98/Cir1/Dazap1/Snrpa/Ccnl1/Celf2/Exosc10/Polr2a/Magoh/Ncl/Sf3b2/Prpf4b/Slu7/Khdc4/Rsrp1/Prpf6/Snrnp70/Khdrbs1/Prpf38b/Pnn/Mbnl2/Rsrc1/Srrm1/Casc3/Nono/Tardbp/Srpk1/Taf10/Gemin7/Tia1/Ern1/Rbm47/Slc38a2/Snrpd3/Rbm3/Syf2/Fus/Prpf39/Rbm6/Cdk12/Ecd/Taf15/Snrnp200/Dhx15/Clk1/Ddx46/Snw1/Supt6/Supt20/Hspa8/Snrpb/Hnrnpm/Usp4/Ubl5/Pabpc1/Srsf2/Ppp4r2/Srrm2/Eif1/Ythdc1/Hnrnph1/Rbm25/Ddx39b/Nsrp1/Rps13/Eny2/Rbfox2/Zranb2/Mtrex/Aqr/Rbm10/Cdk13/Dhx9/Snrpd2/U2af2/Rnps1/Virma/Sfswap/Zcrb1/Sf3b6/Ddx42/Dyrk1a/Ddx5/Luc7l2/Snrpf/Ik/Zfp638/Sf1/Tmbim6/Khdrbs3/Ptbp1/Ddx17/Cwf19l2/Tcerg1/Strap/Psip1/Scaf11/Srsf6/Srpk2/Tra2b/Celf1/Hnrnpu/Rp9/Snrpg/Srsf10/Thrap3/Rps26/Hnrnpa3/Rbm39/Paxbp1/Ybx1/Khsrp/Hnrnpul2/Snrpe/Bcas2/Npm1/Srek1/Syncrip/Hnrnph2/Zbtb7a/Sf3b3/Srsf5/Sfpq/U2af1/Hnrnpc/Mbnl1/Prpf8/Hnrnpul1/Hnrnpk/Puf60/Ddx1/Prpf40a/Snrpc/Luc7l/Ptbp3/Prdx6/Rbm5/Sf3b1/Son/Srsf3/Malat1/Srsf1/Prpf19/Hnrnpf/Esrp1/Thoc2/Snu13/Luc7l3/Srsf4/Ivns1abp/Srsf7/Hnrnpa2b1/Wbp11/Ccnl2
Ko_Oe_Beta2	CC	GO:0005840	ribosome	122/2899	270/29872	0.451851851851852	4.6559912102513	19.7838522642197	3.64860445198047e-52	5.81149717111449e-49	3.12166915638918e-49	Cpeb2/Rpl10-ps3/Mrpl57/Nufip2/Psma6/Fxr1/Mrps12/Abcf1/Calr/Rpl36al/Rps27l/Ndufa7/Eif2ak4/Mrps33/Ubb/Rbm3/Fxr2/Rpl39/Rpl34/Hbs1l/Rpl18/Rpl12/Rps20/Rps13/Rps18/Mrpl54/Rpl26/Rpl37a/Rps5/Rps21/Etf1/Rpl27/Rpl41/Rpl32/Ddx3x/Rpl36/Rps9/Nemf/Rpl23a/Rps14/Rpl23/Rpl8/Rack1/Rps16/Rpl22l1/Rpl9/Rpl38/Mrps28/Uba52/Rpl3/Abce1/Rps12/Rpl10a/Rps15a/Rpl17/Rps29/Fau/Rpl19/Rpl35a/Rpl4/Larp4/Rps23/Gcn1/Ltn1/Rps26/Rpl15/Eef2/Canx/Npm1/Rpl13a/Rps25/Rps28/Rps4x/Rps15/Mrpl51/Rplp2/Rpl7a/Rpl7/Mrpl52/Rpl24/Rpl27a/Rps6/Rps27/Rps3a1/Gspt1/Rps27a/Rpl5/Ascc3/Rpl22/Rpl13/Rps11/Rpsa/Rplp0/Eif2a/Rpl28/Rps8/Rps3/Rps2/Rps19/Rpl10/Eif4g1/Rpl35/Rpl11/Rpl29/Rpl36a/Rpl21/Rpl30/Rps17/Rpl37/Rpl14/Mrpl17/Rplp1/Rpl18a/Rps10/Rnf10/Snu13/Rpl6/Rps7/Rpl31/Mrpl20/Eef1a1/Rps24	122	Cpeb2/Rpl10-ps3/Mrpl57/Nufip2/Psma6/Fxr1/Mrps12/Abcf1/Calr/Rpl36al/Rps27l/Ndufa7/Eif2ak4/Mrps33/Ubb/Rbm3/Fxr2/Rpl39/Rpl34/Hbs1l/Rpl18/Rpl12/Rps20/Rps13/Rps18/Mrpl54/Rpl26/Rpl37a/Rps5/Rps21/Etf1/Rpl27/Rpl41/Rpl32/Ddx3x/Rpl36/Rps9/Nemf/Rpl23a/Rps14/Rpl23/Rpl8/Rack1/Rps16/Rpl22l1/Rpl9/Rpl38/Mrps28/Uba52/Rpl3/Abce1/Rps12/Rpl10a/Rps15a/Rpl17/Rps29/Fau/Rpl19/Rpl35a/Rpl4/Larp4/Rps23/Gcn1/Ltn1/Rps26/Rpl15/Eef2/Canx/Npm1/Rpl13a/Rps25/Rps28/Rps4x/Rps15/Mrpl51/Rplp2/Rpl7a/Rpl7/Mrpl52/Rpl24/Rpl27a/Rps6/Rps27/Rps3a1/Gspt1/Rps27a/Rpl5/Ascc3/Rpl22/Rpl13/Rps11/Rpsa/Rplp0/Eif2a/Rpl28/Rps8/Rps3/Rps2/Rps19/Rpl10/Eif4g1/Rpl35/Rpl11/Rpl29/Rpl36a/Rpl21/Rpl30/Rps17/Rpl37/Rpl14/Mrpl17/Rplp1/Rpl18a/Rps10/Rnf10/Snu13/Rpl6/Rps7/Rpl31/Mrpl20/Eef1a1/Rps24
Ko_Oe_Beta2	BP	GO:1903311	regulation of mRNA metabolic process	131/2899	310/29872	0.42258064516129	4.35437358822286	19.4629977681417	8.52772170978592e-52	1.13191292827892e-48	6.08011596992456e-49	Upf3b/Zfp36l2/Vegfa/Rock2/Acin1/Hnrnpl/Iws1/Tra2a/Celf4/Nup98/Dazap1/Tent5a/Celf2/Eif4enif1/Tob1/Exosc10/Magoh/Ncl/Fxr1/Gigyf2/Rock1/Ago2/Tent4b/Zc3hav1/Cnot2/Snrnp70/Rc3h1/Khdrbs1/Mbnl2/Paip1/Hnrnpr/Srrm1/Casc3/Pan3/Hnrnpd/Tardbp/Pan2/Srpk1/Pum2/Tnrc6b/Fto/Tia1/Rbm47/Rbm3/Alkbh5/Fus/Fxr2/Cpeb3/Taf15/Mtor/Pabpn1/Snw1/Supt6/Cnot7/Nbas/Hspa8/Pabpc1/Ythdf3/Srsf2/Eif1/Ythdc1/Rbm25/Cpeb1/Nsrp1/Rbfox2/Safb2/Rbm10/Dhx9/Cnot1/Dhx36/U2af2/Btg2/Rnps1/Sfswap/Dyrk1a/Ythdf2/Ddx5/Tnrc6a/Sf1/Khdrbs3/Ptbp1/Caprin1/Ddx17/Rc3h2/Cnot6l/Srsf6/Larp4b/Srpk2/Tra2b/Celf1/Hnrnpu/Sltm/Fip1l1/Tnrc6c/Srsf10/Pabpc4/Thrap3/Rbm39/Ybx1/Khsrp/Npm1/Cnot3/Ahcyl1/Larp1/Tut7/Syncrip/Elavl1/Zbtb7a/Csde1/Hnrnpc/Hnrnpk/Puf60/Cnot6/Ptbp3/Safb/Prdx6/Rbm5/Pum1/Rbm33/Tut4/Son/Srsf3/Malat1/Srsf1/Prpf19/Hnrnpab/Cdc73/Dicer1/Srsf4/Srsf7/Hnrnpa2b1	131	Upf3b/Zfp36l2/Vegfa/Rock2/Acin1/Hnrnpl/Iws1/Tra2a/Celf4/Nup98/Dazap1/Tent5a/Celf2/Eif4enif1/Tob1/Exosc10/Magoh/Ncl/Fxr1/Gigyf2/Rock1/Ago2/Tent4b/Zc3hav1/Cnot2/Snrnp70/Rc3h1/Khdrbs1/Mbnl2/Paip1/Hnrnpr/Srrm1/Casc3/Pan3/Hnrnpd/Tardbp/Pan2/Srpk1/Pum2/Tnrc6b/Fto/Tia1/Rbm47/Rbm3/Alkbh5/Fus/Fxr2/Cpeb3/Taf15/Mtor/Pabpn1/Snw1/Supt6/Cnot7/Nbas/Hspa8/Pabpc1/Ythdf3/Srsf2/Eif1/Ythdc1/Rbm25/Cpeb1/Nsrp1/Rbfox2/Safb2/Rbm10/Dhx9/Cnot1/Dhx36/U2af2/Btg2/Rnps1/Sfswap/Dyrk1a/Ythdf2/Ddx5/Tnrc6a/Sf1/Khdrbs3/Ptbp1/Caprin1/Ddx17/Rc3h2/Cnot6l/Srsf6/Larp4b/Srpk2/Tra2b/Celf1/Hnrnpu/Sltm/Fip1l1/Tnrc6c/Srsf10/Pabpc4/Thrap3/Rbm39/Ybx1/Khsrp/Npm1/Cnot3/Ahcyl1/Larp1/Tut7/Syncrip/Elavl1/Zbtb7a/Csde1/Hnrnpc/Hnrnpk/Puf60/Cnot6/Ptbp3/Safb/Prdx6/Rbm5/Pum1/Rbm33/Tut4/Son/Srsf3/Malat1/Srsf1/Prpf19/Hnrnpab/Cdc73/Dicer1/Srsf4/Srsf7/Hnrnpa2b1
Ko_Oe_Beta2	BP	GO:0140241	translation at synapse	48/2899	48/29872	1	10.3042428423594	21.1496445478958	1.66617892172779e-49	1.65868111658002e-46	8.90967254987073e-47	Rpl34/Rpl12/Rpl26/Rpl37a/Rps5/Rpl27/Rpl32/Rpl36/Rpl23a/Rps14/Rpl23/Rpl8/Rps16/Rpl9/Rpl38/Uba52/Rps12/Rpl10a/Rps15a/Rpl17/Rpl35a/Rpl4/Rps26/Rpl15/Eef2/Rpl13a/Rps28/Rplp2/Rpl7a/Rpl7/Rpl24/Rpl27a/Rps27/Rps27a/Rpl5/Rpl22/Rpl13/Rps11/Rpl28/Rpl10/Rpl35/Rpl29/Rpl36a/Rpl37/Rpl14/Rps10/Rpl6/Rps24	48	Rpl34/Rpl12/Rpl26/Rpl37a/Rps5/Rpl27/Rpl32/Rpl36/Rpl23a/Rps14/Rpl23/Rpl8/Rps16/Rpl9/Rpl38/Uba52/Rps12/Rpl10a/Rps15a/Rpl17/Rpl35a/Rpl4/Rps26/Rpl15/Eef2/Rpl13a/Rps28/Rplp2/Rpl7a/Rpl7/Rpl24/Rpl27a/Rps27/Rps27a/Rpl5/Rpl22/Rpl13/Rps11/Rpl28/Rpl10/Rpl35/Rpl29/Rpl36a/Rpl37/Rpl14/Rps10/Rpl6/Rps24
Ko_Oe_Beta2	BP	GO:0140242	translation at postsynapse	48/2899	48/29872	1	10.3042428423594	21.1496445478958	1.66617892172779e-49	1.65868111658002e-46	8.90967254987073e-47	Rpl34/Rpl12/Rpl26/Rpl37a/Rps5/Rpl27/Rpl32/Rpl36/Rpl23a/Rps14/Rpl23/Rpl8/Rps16/Rpl9/Rpl38/Uba52/Rps12/Rpl10a/Rps15a/Rpl17/Rpl35a/Rpl4/Rps26/Rpl15/Eef2/Rpl13a/Rps28/Rplp2/Rpl7a/Rpl7/Rpl24/Rpl27a/Rps27/Rps27a/Rpl5/Rpl22/Rpl13/Rps11/Rpl28/Rpl10/Rpl35/Rpl29/Rpl36a/Rpl37/Rpl14/Rps10/Rpl6/Rps24	48	Rpl34/Rpl12/Rpl26/Rpl37a/Rps5/Rpl27/Rpl32/Rpl36/Rpl23a/Rps14/Rpl23/Rpl8/Rps16/Rpl9/Rpl38/Uba52/Rps12/Rpl10a/Rps15a/Rpl17/Rpl35a/Rpl4/Rps26/Rpl15/Eef2/Rpl13a/Rps28/Rplp2/Rpl7a/Rpl7/Rpl24/Rpl27a/Rps27/Rps27a/Rpl5/Rpl22/Rpl13/Rps11/Rpl28/Rpl10/Rpl35/Rpl29/Rpl36a/Rpl37/Rpl14/Rps10/Rpl6/Rps24
Ko_Oe_Beta2	BP	GO:0140236	translation at presynapse	47/2899	47/29872	1	10.3042428423594	20.9278253459142	1.74241887589521e-48	1.54184710306994e-45	8.28209393174049e-46	Rpl34/Rpl12/Rpl26/Rpl37a/Rps5/Rpl27/Rpl32/Rpl36/Rpl23a/Rps14/Rpl23/Rpl8/Rps16/Rpl9/Rpl38/Uba52/Rps12/Rpl10a/Rps15a/Rpl17/Rpl35a/Rpl4/Rps26/Rpl15/Rpl13a/Rps28/Rplp2/Rpl7a/Rpl7/Rpl24/Rpl27a/Rps27/Rps27a/Rpl5/Rpl22/Rpl13/Rps11/Rpl28/Rpl10/Rpl35/Rpl29/Rpl36a/Rpl37/Rpl14/Rps10/Rpl6/Rps24	47	Rpl34/Rpl12/Rpl26/Rpl37a/Rps5/Rpl27/Rpl32/Rpl36/Rpl23a/Rps14/Rpl23/Rpl8/Rps16/Rpl9/Rpl38/Uba52/Rps12/Rpl10a/Rps15a/Rpl17/Rpl35a/Rpl4/Rps26/Rpl15/Rpl13a/Rps28/Rplp2/Rpl7a/Rpl7/Rpl24/Rpl27a/Rps27/Rps27a/Rpl5/Rpl22/Rpl13/Rps11/Rpl28/Rpl10/Rpl35/Rpl29/Rpl36a/Rpl37/Rpl14/Rps10/Rpl6/Rps24
Ko_Oe_Beta2	BP	GO:0048193	Golgi vesicle transport	118/2899	281/29872	0.419928825622776	4.32704859572389	18.3703252527178	2.07423893000731e-46	1.65192388385783e-43	8.87337580163129e-44	Wipi1/Pkdcc/Nsf/Krt18/Vapb/Sec24b/Chic2/Exoc4/Arl1/Ergic1/Sptbn1/Cog4/Creb3l2/Tmed7/Rab6a/Lman2/Mia3/Gabarapl2/Preb/Lman1/Trappc10/Scfd1/Sec23a/Vamp2/Sec22b/Tmed9/Tfg/Cog5/Tmed3/Arf5/Trappc2l/Snx2/Vti1a/Nbea/Gbf1/Vamp4/Dnm2/Sec16a/Vps29/Golga4/Cope/Lamp1/Vapa/Cul3/Nbas/Atp9b/Myo5a/Copz1/Bcap31/Sec24d/Arcn1/Gosr2/Gga2/Trappc9/Macf1/Ap1g1/Rabep1/Sys1/Arl3/Mia2/Rab10/Vcp/Copb2/Sec24a/Ap3d1/Erp29/Pitpnb/Myo18a/Bet1l/Exoc6b/Rack1/Gak/P4hb/Uso1/Sec24c/Use1/Sec23b/Ank3/Golga5/Copg1/Ap3s1/Prepl/Arfgap3/Golph3/Copa/Trip11/Rab12/Golt1b/Gcc2/Tmed2/Htt/Trappc6b/Arfgef2/Kdelr1/Yipf5/Hyou1/Kdelr2/Rab1a/Tmed5/Rab14/Sar1a/Stx5a/Vti1b/Arf1/Arf4/Exoc5/Uvrag/Pdcd6/Snx3/Yipf6/Yipf4/Copb1/Sar1b/Tmed10/Ergic2/Sec31a/Atp2c1/Golga2	118	Wipi1/Pkdcc/Nsf/Krt18/Vapb/Sec24b/Chic2/Exoc4/Arl1/Ergic1/Sptbn1/Cog4/Creb3l2/Tmed7/Rab6a/Lman2/Mia3/Gabarapl2/Preb/Lman1/Trappc10/Scfd1/Sec23a/Vamp2/Sec22b/Tmed9/Tfg/Cog5/Tmed3/Arf5/Trappc2l/Snx2/Vti1a/Nbea/Gbf1/Vamp4/Dnm2/Sec16a/Vps29/Golga4/Cope/Lamp1/Vapa/Cul3/Nbas/Atp9b/Myo5a/Copz1/Bcap31/Sec24d/Arcn1/Gosr2/Gga2/Trappc9/Macf1/Ap1g1/Rabep1/Sys1/Arl3/Mia2/Rab10/Vcp/Copb2/Sec24a/Ap3d1/Erp29/Pitpnb/Myo18a/Bet1l/Exoc6b/Rack1/Gak/P4hb/Uso1/Sec24c/Use1/Sec23b/Ank3/Golga5/Copg1/Ap3s1/Prepl/Arfgap3/Golph3/Copa/Trip11/Rab12/Golt1b/Gcc2/Tmed2/Htt/Trappc6b/Arfgef2/Kdelr1/Yipf5/Hyou1/Kdelr2/Rab1a/Tmed5/Rab14/Sar1a/Stx5a/Vti1b/Arf1/Arf4/Exoc5/Uvrag/Pdcd6/Snx3/Yipf6/Yipf4/Copb1/Sar1b/Tmed10/Ergic2/Sec31a/Atp2c1/Golga2
